title,link,current_price,old_price,discount,rating,rating_num,shipping,Best Seller Ranking,Series,AI Features,Operating System,Processor Name,Screen Size,Resolution,Refresh Rate,SSD,Memory,Memory Slot (Total),WiFi Generation,Bluetooth,USB,HDMI,Other port,Backlit Keyboard,Battery,First Listed on Newegg,Brand,Model,Part Number,Color,CPU Type,Number of Cores,CPU L2 Cache,CPU L3 Cache,Touchscreen,Wide Screen Support,Display Type,Panel,GPU/VPU,Video Memory,Graphic Type,Storage Spec,Memory Speed,Memory Spec,Memory Slot (Available),WLAN,Ethernet,Audio Ports,Speaker,Touchpad,Webcam,Style,Type,Usage,AC Adapter/Charger,Dimensions (W x D x H),Weight,Package Content,Neural Processing Unit (NPU),Display Features,Optical Drive Type,Thunderbolt,Audio,Card Reader,Battery Life,LAN,Keyboard,Cosmetic Condition,HDD,Core Name,Video Port,Turbo Frequency,Smart Cache,Max Memory Supported,Other Features,Release Year,CPU,Screen,Storage,Consumer Alert,Docking Connector,Software Included,Graphics Card,Communication,Other Input Devices,Virtual Reality Ready
"Dell Inspiron 3511 15.6"" Full HD 1920 x 1080, 10th Gen Intel Core i5-1035G7 Quad Core Processor, 32GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Wifi-AC, Bluetooth,HDMI,USB, Windows 11 Pro",https://www.newegg.com/dell-inspiron-15-6-full-hd-wva-display-1920-x-1080-non-touch-screen-intel-core-i5-1035g7-intel-uhd-graphics-32gb-memory-512-gb-ssd-black/p/1TS-000A-0MTD6,$829.79,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished ASUS Zenbook S 16 16 3K OLED Touchscreen AMD Ryzen AI 9 365 2.0 GHz up to 5.0 GHz 24GB 1TB SSD AMD Radeon 880M Graphics Windows 11 Home, White - UM5606WA",https://www.newegg.com/asus-16-0-yes-amd-radeon-880m-24gb-memory-1-tb-ssd-white/p/1TS-001A-0BPM9,"$1,116.00","$1,149.99",,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished HP Chromebook Plus x360 14b-cd0023dx 14"" FHD Touch Intel Core i3-N305 up to 3.8 GHz 8GB RAM 256GB UFS Intel UHD Graphics ChromeOS Laptop - A4HB3UA",https://www.newegg.com/hp-14-0-yes-intel-uhd-graphics-8gb-memory-256-gb-ssd/p/1TS-000D-1PCJ7,$239.99,,,,,Free Shipping,#43 in All Laptop,,,Chrome OS,,"14.0""",1920 x 1080,,256 GB,8GB,,,Bluetooth 5.3,"2 x USB Type-C 5Gbps signaling rate (USB Power Delivery,DisplayPort 1.4)1 x USB Type-A 5Gbps signaling rate",,,,"2-cell, 47 Wh Li-ion","March 10, 2026",HP,Chromebook Plus x360 14b-cd0023dx,A4HB3UA-R,,Intel Core i3,8-core Processor,,,Yes,,,,Intel UHD Graphics,Shared system memory,Integrated Graphics,,,8,,802.11ax Wireless LAN,No,1 x Headphone/microphone combo,HD Audio with stereo speakers,Multi Touch,HP True Vision 1080p FHD camera,,Mainstream,,,,3.03,,,,No,,,,,No,"Full-size, backlit, soft grey keyboard",,No,Intel Core i3-N305,,,,,,,,,,,,,,,,
"Refurbished Dell Latitude 7420 i7-1185G7 16GB RAM 512GB NVMe 14"" FHD Screen 1920x1080 Backlit Keyboard, Bluetooth, WIFI Win 11 Pro",https://www.newegg.com/dell-14-0/p/1TS-000A-13ED8,$349.00,,,,,Free Shipping,,,,,,"14.0""",,,,,,,,,,,,,"October 28, 2024",DELL,,,,Intel Corei7-1185G7,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,3 - 3.9 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished MSI Summit E13 Flip Evo Laptop Intel Core i7-1360P 16GB Memory 1 TB PCIe SSD Intel Iris Xe Graphics 13.4"" Touchscreen Windows 11 Home A13MT-243US",https://www.newegg.com/msi-13-4-touch-screen-intel-core-i7-1360p-intel-iris-xe-graphics-16gb-memory-1-tb-pcie-ssd-ink-black/p/N82E16834156677,$659.99,$999.99,34%,5.0,1.0,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude 5510 Notebook, 15.6"" FHD Display, Intel Core i5-10210U Upto 4.2GHz, 16GB RAM, 500GB PCIe-NVMe, HDMI, DisplayPort via USB-C, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",https://www.newegg.com/dell-latitude-15-6-fhd-non-touch-screen-1-60ghz-intel-uhd-graphics-16gb-memory-500-gb-ssd-dark-gray/p/1TS-000A-0MZB3,"$1,299.99",,,,,Free Shipping,,Latitude,,Windows 10 Pro,1.60GHz,"15.6""",1920 x 1080,,500GB,16GB,,Wi-Fi 6,Bluetooth 5.0,"1x USB-C 3.2 Gen 2, 3x USB 3.1 Gen 1",,,,4-cell Lithium Ion,"March 24, 2022",DELL,5510,5510,Dark Gray,Intel Core i5 10th Gen,,,,Non-Touch Screen,,FHD,,Intel UHD Graphics,,,500GB PCIe SSD,DDR4,,,Wi-Fi 6,1 x RJ-45,1 x Headphone/Microphone Combo Jack,Integrated Stereo Speakers,Yes,Yes,,Work / Business,,65-watt AC Adapter,,,,,,No,,Integrated Sound card,3-in-1,,10/100/1000Mbps,Standard,,No,,"1x HDMI, 1x DisplayPort via USB-C",,,,,,,,,,,,,,Yes,
"HP OmniBook 5 Laptop Computer 14"" 2K Snapdragon X 16 GB memory;512 GB SSD",https://www.newegg.com/hp-14-0-qualcomm-snapdragon-x-x1-26-100-qualcomm-adreno-16gb-memory-512-gb-pcie-ssd/p/2NR-000A-01PK8,"$1,149.99",,,,,Free Shipping,#95 in All Laptop,,,,,,,,,,,,,,,,,,"August 25, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refurbished Dell Latitude 7430 - 14 Inch FHD (1920x1080) Non-Touchscreen Laptop | Intel Core i5-1245U | 16 GB RAM - 512 GB SSD | Intel Iris Integrated Graphics | Backlit Keyboard | Windows 11 Pro,https://www.newegg.com/dell-latitude-14-0-fhd-non-touch-screen-intel-core-i5-1245u-integrated-graphics-160gb-ddr4-memory-512gb-ssd/p/1TS-000A-15G98,$349.99,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo - IdeaPad Slim 3 15.6"" Full HD Touchscreen Laptop - AMD Ryzen 7 5825U - 16GB Memory - 512GB SSD - Arctic Grey",https://www.newegg.com/lenovo-ideapad-15-6-touch-screen-16gb-memory-512-gb-ssd-arctic-grey/p/1TS-000E-1DK92,$629.99,,,,,,,IdeaPad,,,,"15.6""",1920 x 1080,,512GB,16GB,,,,,1 x HDMI 1.4,,Non-backlit,Lithium Polymer,"December 24, 2025",Lenovo,,,Arctic Grey,,,,,Touch Screen,,,IPS,,,Integrated Card,,,16 GB x 1,,,,,,,,,,,,,,,,In-plane Switching (IPS) Technology,,,,,Up to 10 Hours,,,,,,1 x HDMI,,,,,,,,,,,,,,,
"MSI Venture Pro A15 AI+ 15.6"" TouchScreen Copilot+ PC Laptop - AMD Ryzen AI 7 350 - Nvidia GeForce RTX 5050 - 16GB RAM - 1TB SSD (A3HWETG-083US)",https://www.newegg.com/msi/p/N82E16834156851,"$1,339.00","$1,349.00",,4.5,10.0,Free Shipping,,,Copilot+ PC,Windows 11 Home,AMD Ryzen AI 7 350,"15.6""",1920 x 1080,60 Hz,1TB NVMe,16GB DDR5,2,Wi-Fi 6E,Bluetooth 5.2,1 x USB 3.2 Gen 2 Type-C / 2 x USB 3.2 Gen 1,1 x HDMI 2.1,,,4 cell (55Whr) Li-Polymer,"October 24, 2025",MSI,VenturePro A15 AI+ A3HWETG-083US,,Solid Gray,AMD Ryzen AI 300 Series,8-core Processor,8MB,16 MB,Touch Screen,Yes,,,GeForce RTX 5050 Laptop GPU,8GB GDDR7,Dedicated Card,,,2x 8GB DDR5,0.0,802.11ax Wireless LAN,1 x RJ-45 (1Gbps),1 x Headphone/Microphone Combo Jack,"2 x 2W Speakers, DTS Audio Processing, Noise Cancellation Pro, Spatial Array Microphone (3 Mic), Hi-Res Audio",Touchpad w/ Fingerprint support Windows Hello FIDO2,720p HD Webcam,Thin and Light,Gaming,Consumer,90-watt AC Adapter,"14.15"" x 9.66"" x 0.91""",6.17 lbs.,,,45% NTSC Finger,No,,,,,10/100/1000Mbps,White backlight keyboard (99 Key),,,,,,,64 GB,,,,,,,,,,,,
"Microsoft Surface Laptop 7 13.8"" Touchscreen Clamshell Notebook - Qualcomm Snapdragon X Elite X1E-80-100 - 16 GB - 512 GB SSD - Platinum - Windows 11 Pro- English Keyboard ZGZ-00001",https://www.newegg.com/microsoft-surface-laptop-7-13-8-touch-screen-qualcomm-snapdragon-x-elite-16gb-memory-512-gb-ssd-platinum/p/N82E16834820063,"$1,319.00",,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OmniBook 5 16-fb0037nr Laptop - 16"" 2K OLED touchscreen - Snapdragon X Plus Processor - AI Assistant - 32GB RAM,512 GB SSD - Win 11 Pro",https://www.newegg.com/hp-16-0-qualcomm-snapdragon-x-plus-x1p-42-100-qualcomm-adreno-gpu-32gb-ddr5-memory-512gb-ssd/p/1TS-000D-1SUB3,$879.99,,,,,Free Shipping,,,AI Ready,Windows 11 Pro,Qualcomm Snapdragon X Plus X1P-42-100,"16.0""",1920 x 1200,,512GB,32GB DDR5,,Wi-Fi 6E,Bluetooth 5.3,,,,,3-cell Lithium Ion,"April 30, 2026",,,,,Qualcomm Snapdragon X,,,,,,,,Qualcomm Adreno GPU,,,,,,,,,,,,,,Work / Business,,65-watt AC Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIAKUN 2026 15.6"" FHD Gaming Laptop: AMD Ryzen 7 6800H 45W TDP, 32GB RAM, 1TB NVMe SSD, Win 11 Pro, Keyboard, 6 Ports, Lightweight 3.5lb for Gaming, Students, Programming, Video Editing",https://www.newegg.com/niakun-15-6-inches-amd-ryzen-7-6800h-lcd-32gb-memory-1tb-ssd/p/2WC-007P-00009,$799.99,$899.99,11%,,,Free Shipping,#36 in All Laptop,,,Windows 11 Pro,AMD Ryzen 7 6800H,15.6 inches,1080p,,1TB,32GB,,802_11_AC,,,1,,Backlit,1,"May 14, 2026",SAGAWHALE,6800H-15.6IN-YS-32GB+1TB,,Silver,amd_ryzen_7,1,,,,,LCD,,,32 GB,Integrated,,,,,802_11_AC,,,,,,Ryzen 7,,,,17 in x 13 in x 3.5 in,3.5 lb,Laptop,,,,,,,,,touch_pad,,,,,4.7 GHz,,,,2026.0,AMD Ryzen 7 6800H,15.6 inches,SSD,,,,,,,
"Dell Inspiron 3000 Home & Business Laptop Notebook ,15.6"" FHD Touch Display,AMD Ryzen 7 7730U (Beat I5-1235U),16GB RAM,512GB SSD, Wi-Fi, Lifetime Microsoft Office, Windows 11 Home/XTREDURA FLASH Drive",https://www.newegg.com/dell-3000-15-0-fhd-touch-screen-amd-ryzen-7-7730u-16gb-memory-512-gb-ssd-black/p/1TS-000A-14WC3,$746.79,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Business&Home Laptop, 13th Intel Core i5-1334U Upto 4.6GHz, 24GB RAM, 1TB PCle SSD, Windows 11 Pro, Lifetime Microsoft Office License, Blue",https://www.newegg.com/lenovo-ideapad-15-0-fhd-touch-screen-24gb-memory-1-tb-ssd-blue/p/1TS-000E-1D8N5,$799.79,,,,,Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad P14s Gen 7 AMD Laptop, 14"" IPS  Low Power, Ryzen AI 7 PRO 450, 32GB, 1TB SSD",https://www.newegg.com/lenovo-14-gb-memory-1-tb-ssd-black/p/1TS-000E-1ECP5,"$2,049.00","$2,639.00",22%,,,Free Shipping,,,,,,"14""",,Hz,1 TB,GB,,,,,,,No,3-cell Lithium Ion,"July 13, 2026",Lenovo,21X00004US,21X00004US,Black,AMD Ryzen A,Single-core Processor,,,No,,,,,,Integrated Card,,,,,,,,,,,,,,,,1.00 lbs,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
"Refurbished Dell Latitude 5430 - 14 inch , FHD (1920x1080)  Non-Touchscreen Laptop, Intel Core i7-1265U, 32GB RAM, 512GB SSD, Intel Integrated Graphics, Backlit Keyboard, Windows 11 Pro - Grey",https://www.newegg.com/dell-latitude-14-0-fhd-non-touch-screen-intel-core-i7-1265u-32gb-memory-512-gb-ssd/p/1TS-000A-154X3,$449.99,,,,,Free Shipping,,Latitude,,Windows 11 Pro,Intel Core i7-1265U,"14.0""",1920 x 1080,,512GB,32GB,,Wi-Fi 6,Bluetooth 5.4,,,,Backlit,,"November 29, 2025",DELL,5430,,Gray,Intel Core i7 12th Gen,,,,Non-Touch Screen,,FHD,,Integrated Graphics,,Integrated Card,,,,,,,,,,Yes,Standard,Work / Business,Everyday Value,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 5i 2-in-1 Laptop, 16"" IPS  Glass,Intel Core Ultra 7 255U,16GB,  Graphics, 1TB SSD,Win 11 Home",https://www.newegg.com/lenovo-16-gb-memory-1-tb-ssd/p/1TS-000E-1CZU0,$969.99,"$1,069.99",9%,,,Free Shipping,,,,,,"16""",,Hz,1 TB,GB,,,Bluetooth 5.0,,,,No,3-cell Lithium Ion,"April 09, 2026",Lenovo,83KS0012US,83KS0012US,,,Single-core Processor,,,No,,,,,,Integrated Card,,,,,,,,,,,,Mainstream,,,,1.00 lbs,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
"Refurbished Dell Latitude 5421 Laptop Intel Core i5-11500H 2.9GHz 16GB Memory 512GB NVMe 14"" FHD Windows 11 Pro 64-bit Webcam",https://www.newegg.com/dell-latitude-14-0-fhd-non-touch-screen-intel-core-i5-11500h-intel-iris-xe-graphics-16gb-memory-512gb-ssd-gray/p/N82E16834817472,$446.99,,,,,Free Shipping,,Latitude,,Windows 11 Pro 64-bit,Intel Core i5-11500H,"14.0""",1920 x 1080,,512GB NVMe,16GB,,,,2 x USB 3.2 Gen 1,1 x HDMI 2.0,,,,"March 04, 2026",DELL,5421,J5-L5421A09,Gray,Intel Core i5 11th Gen,6-core Processor,,12 MB,Non-Touch Screen,Yes,FHD,,Intel Iris Xe Graphics,Shared system memory,Integrated Card,,,,,,1 x RJ-45,1x Headphone/Microphone combo jack (3.5mm),,,Yes,Thin and Light,Work / Business,Business,,14.09'' x 9.91'' x 0.89'',3.95 lbs.,,,,No,2 x Thunderbolt 4,,microSD Card Reader,,,,Grade A (Excellent),No,Tiger Lake,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 5 16"" FHD+ Touchscreen Business AMD Ryzen AI 7 350 (Beat Core Ultra 7 255H) AMD Radeon 860M 32GB DDR5 RAM 1TB SSD Wi-Fi 7 BT 5.4 Backlit KB Webcam Copilot AI Windows 11 Pro Blue",https://www.newegg.com/lenovo-16-0-wuxga-touch-screen-amd-ryzen-ai-7-350-amd-radeon-860m-32gb-memory-1-tb-ssd-blue/p/1TS-000E-1E5F1,"$1,299.00",,,,,Free Shipping,,,Copilot+ PC,Windows 11 Pro,AMD Ryzen AI 7 350,"16.0""",1920 x 1200,60 Hz,1 TB,32GB,,Wi-Fi 7,Bluetooth 5.4,2 x USB 3.2 Gen 2 Type-C,1 x HDMI 2.1,1x Headphone/Microphone combo jack (3.5mm),Backlit,,"April 11, 2026",Lenovo,,,Blue,AMD Ryzen AI 300 Series,8-core Processor,8MB,16 MB,Touch Screen,,WUXGA,IPS,AMD Radeon 860M,,Integrated Card,,DDR5 5600,,,,,1 x Headphone/Microphone Combo Jack,"Stereo speakers, 2W x2, optimized with Dolby®Audio",,1080p FHD,Ultrabook,Work / Business,Business,,,4 - 4.9 lbs.,,,,,,1x Headphone/Microphone combo jack (3.5mm),microSD Card Reader,,10/100/1000Mbps,Full size with Keyboard light,,No,,1 x HDMI,,,,,,,,,,,,,,,
